Año,Trimestre,Provincia,Accesos por cada 100 hogares
1970-01-01 00:00:00.000002021,3,Salta,"55,96"
1970-01-01 00:00:00.000002021,3,San Juan,"39,46"
1970-01-01 00:00:00.000002021,3,San Luis,"79,87"
1970-01-01 00:00:00.000002021,3,Santa Cruz,"43,75"
1970-01-01 00:00:00.000002021,3,Santa Fe,"75,02"
1970-01-01 00:00:00.000002021,3,Santiago Del Estero,47
1970-01-01 00:00:00.000002021,3,Tierra Del Fuego,"94,95"
1970-01-01 00:00:00.000002021,3,Tucumán,"54,64"
1970-01-01 00:00:00.000002021,2,Buenos Aires,70
1970-01-01 00:00:00.000002021,2,Capital Federal,"110,14"
1970-01-01 00:00:00.000002021,2,Catamarca,"52,34"
1970-01-01 00:00:00.000002021,2,Chaco,"43,33"
1970-01-01 00:00:00.000002021,2,Chubut,"72,29"
1970-01-01 00:00:00.000002021,2,Córdoba,"80,12"
1970-01-01 00:00:00.000002021,2,Corrientes,"43,54"
1970-01-01 00:00:00.000002021,2,Entre Ríos,"61,66"
1970-01-01 00:00:00.000002021,2,Formosa,"33,23"
1970-01-01 00:00:00.000002021,2,Jujuy,"56,18"
1970-01-01 00:00:00.000002021,2,La Pampa,"82,08"
1970-01-01 00:00:00.000002021,2,La Rioja,"76,98"
1970-01-01 00:00:00.000002021,2,Mendoza,"40,97"
1970-01-01 00:00:00.000002021,2,Misiones,"45,01"
1970-01-01 00:00:00.000002021,2,Neuquén,"69,14"
1970-01-01 00:00:00.000002021,2,Río Negro,"61,94"
1970-01-01 00:00:00.000002021,2,Salta,"54,93"
1970-01-01 00:00:00.000002021,2,San Juan,"39,28"
1970-01-01 00:00:00.000002021,2,San Luis,"83,48"
1970-01-01 00:00:00.000002021,2,Santa Cruz,"44,01"
1970-01-01 00:00:00.000002021,2,Santa Fe,"75,07"
1970-01-01 00:00:00.000002021,2,Santiago Del Estero,"46,56"
1970-01-01 00:00:00.000002021,2,Tierra Del Fuego,"67,89"
1970-01-01 00:00:00.000002021,2,Tucumán,"54,93"
1970-01-01 00:00:00.000002021,1,Buenos Aires,"69,11"
1970-01-01 00:00:00.000002021,1,Capital Federal,"108,42"
1970-01-01 00:00:00.000002021,1,Catamarca,"48,9"
1970-01-01 00:00:00.000002021,1,Chaco,"43,14"
1970-01-01 00:00:00.000002021,1,Chubut,"68,99"
1970-01-01 00:00:00.000002021,1,Córdoba,"78,59"
1970-01-01 00:00:00.000002021,1,Corrientes,"42,66"
1970-01-01 00:00:00.000002021,1,Entre Ríos,"60,44"
1970-01-01 00:00:00.000002021,1,Formosa,"32,73"
1970-01-01 00:00:00.000002021,1,Jujuy,"55,63"
1970-01-01 00:00:00.000002021,1,La Pampa,"81,78"
1970-01-01 00:00:00.000002021,1,La Rioja,"49,81"
